（〇一）通用管理职位
101,经营管理
101001,董事长
101101,副董事长
101102,董事
101103,监事长
101104,董事会秘书
101002,总经理
101105,副总经理
101106,总经理助理
101107,分支机构经理/首席代表
101108,管理培训生
102,政工管理
102101,党委书记
102102,党委副书记
102103,工会主席
102104,纪委书记
102105,党办主任
102106,组织部长
102107,宣传部长
102108,团委书记
102201,政工干事
103,财务管理
103101,财务总监
103102,总经济师
103103,财务部经理
103104,财务部副经理
103201,财务主管
103202,财务助理
103105,审计部经理
103106,审计部副经理
103203,审计主管
103204,审计助理
103107,成本控制经理
103108,预算经理
103109,现金流经理
103110,应收帐款经理
103111,投标经理
103205,统计人员
103206,财务分析人员
103207,税务申报人员
103208,财务清算人员
103209,预算分析人员
103210,成本分析人员
103211,审计人员
103212,会计
103213,出纳
103112,投资经理
103214,投资主管
103215,投资分析人员
103113,资本运营经理
103216,资本运营主管
104,行政管理
104101,行政总监
104102,行政部经理
104103,行政部副经理
104201,行政主管
104202,行政专员
104203,行政助理
104104,办公室主任
104204,总务
104105,法务经理
104205,法务主管
104206,法务专员
104207,法务助理
104208,法务顾问
104209,档案管理
104210,安保主管
104211,保安员
104212,俄语翻译
104213,日语翻译
104214,英语翻译
104215,法语翻译
104216,其他外语翻译
104217,秘书
104218,收发员
104219,文字录入人员
104220,前台服务接待
104106,战略发展经理
104107,区域事业发展经理
104221,企业内刊主编
105,人力资源
105101,人力资源总监
105102,人力资源部经理
105103,人力资源部副经理
105201,人力资源主管
105202,人事专员
105203,人事助理
105204,招聘主管
105205,招聘专员
105206,薪酬福利主管
105207,薪酬福利专员
105208,员工关系主管
105209,员工关系专员
105210,培训主管
105211,培训专员
105212,培训助理
105213,培训师
106,市场管理
106101,市场总监
106102,市场部经理
106103,市场部副经理
106201,市场主管
106202,市场助理
106104,公共关系经理
106203,公关关系主管
106204,公关员
106205,商务策划师
106206,商务谈判师
106105,品牌经理
106207,品牌主管
106208,品牌助理
106209,品牌推广人员
106210,促销管理人员
106211,促销员
106212,市场策划人员
106106,市场调研经理
106213,市场调研主管
106214,市场调研人员
106215,市场分析人员
106216,竞争情报分析师
106217,现代工艺美术设计
107,销售采购
107101,销售总监
107102,销售部经理
107103,销售部副经理
107201,销售主管
107202,销售助理
107104,全国销售经理
107105,区域销售经理
107106,分销经理
107203,分销主管
107204,呼叫中心主管
107205,呼叫服务员
107107,大客户经理
107108,客户服务经理
107206,客户服务专员
107207,客户服务人员
107208,技术服务中心主管
107209,销售培训师
107210,销售员
107211,外销员
107212,售后技术服务人员
107213,其他销售人员
107109,采购部经理
107110,采购部副经理
107214,采购主管
107215,采购助理
107216,采购员
108,技术管理
108101,技术总监
108102,总工程师
108103,技术部经理
108104,技术部副经理
108201,研发/设计主管
